Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education_Updated,EducationField,EnvironmentSatisfaction_Updated,Gender,HourlyRate,JobInvolvement_Updated,JobLevel_Updated,JobRole,JobSatisfaction_Updated,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction_Updated,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance_Updated,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
23,18-25,1,Travel_Rarely,427,Sales,7,Moderately Educated,Life Sciences,High,Male,99,High,Very Low,Sales Representative,Very High,Divorced,2275,1,1,21,4,Medium,1,3,2,High,3,2,0,2
23,18-25,0,Travel_Rarely,160,Research & Development,4,Very Less Educated,Medical,High,Female,51,High,Very Low,Laboratory Technician,Medium,Single,3295,1,0,13,3,High,0,3,3,Low,3,2,1,2
23,18-25,0,Travel_Rarely,571,Research & Development,12,Less Educated,Other,Very High,Male,78,High,Very Low,Laboratory Technician,Very High,Single,2647,1,0,13,3,High,0,5,6,Very High,5,2,1,4
23,18-25,1,Travel_Frequently,638,Sales,9,Moderately Educated,Marketing,Very High,Male,33,High,Very Low,Sales Representative,Low,Married,1790,1,0,19,3,Low,1,1,3,Medium,1,0,1,0
24,18-25,0,Non-Travel,673,Research & Development,11,Less Educated,Other,Low,Female,96,Very High,Low,Manufacturing Director,High,Divorced,4011,0,0,18,3,Very High,1,5,5,Medium,4,2,1,3
24,18-25,1,Travel_Rarely,813,Research & Development,1,Moderately Educated,Medical,Medium,Male,61,High,Very Low,Research Scientist,Very High,Married,2293,2,1,16,3,Low,1,6,2,Medium,2,0,2,0
24,18-25,0,Travel_Rarely,1353,Sales,3,Less Educated,Other,Low,Female,33,High,Low,Sales Executive,High,Married,4999,0,0,21,4,Low,1,4,2,Medium,3,2,0,2
24,18-25,0,Travel_Rarely,1127,Research & Development,18,Very Less Educated,Life Sciences,Medium,Male,52,High,Very Low,Laboratory Technician,High,Married,2774,0,0,12,3,High,1,6,2,High,5,3,1,2
24,18-25,0,Travel_Rarely,1371,Sales,10,Highly Educated,Marketing,Very High,Female,77,High,Low,Sales Executive,High,Divorced,4260,1,1,12,3,Very High,1,5,2,Very High,5,2,0,3
24,18-25,1,Travel_Rarely,1448,Sales,1,Very Less Educated,Technical Degree,Low,Female,62,High,Very Low,Sales Representative,Medium,Single,3202,1,1,16,3,Medium,0,6,4,High,5,3,1,4
24,18-25,0,Travel_Frequently,535,Sales,24,Moderately Educated,Medical,Very High,Male,38,High,Very Low,Sales Representative,Very High,Married,2400,0,0,13,3,High,2,3,3,High,2,2,2,1
24,18-25,0,Travel_Rarely,691,Research & Development,23,Moderately Educated,Medical,Medium,Male,89,Very High,Very Low,Research Scientist,Very High,Married,2725,1,1,11,3,Medium,2,6,3,High,6,5,1,4
24,18-25,0,Travel_Rarely,823,Research & Development,17,Less Educated,Other,Very High,Male,94,Medium,Very Low,Laboratory Technician,Medium,Married,2127,1,0,21,4,Very High,1,1,2,High,1,0,0,0
24,18-25,1,Travel_Frequently,1287,Research & Development,7,Moderately Educated,Life Sciences,Low,Female,55,High,Very Low,Laboratory Technician,High,Married,2886,1,1,16,3,Very High,1,6,4,High,6,3,1,2
24,18-25,1,Travel_Rarely,693,Sales,3,Less Educated,Life Sciences,Low,Female,65,High,Low,Sales Executive,High,Single,4577,9,0,14,3,Low,0,4,3,High,2,2,2,0
24,18-25,0,Non-Travel,1092,Research & Development,9,Moderately Educated,Life Sciences,High,Male,60,Medium,Very Low,Laboratory Technician,Medium,Divorced,2694,1,0,11,3,High,3,1,4,High,1,0,0,0
24,18-25,0,Non-Travel,1269,Research & Development,4,Very Less Educated,Life Sciences,Low,Male,46,Medium,Very Low,Laboratory Technician,Very High,Married,3162,0,0,17,3,Very High,0,6,2,Medium,5,2,3,4
24,18-25,0,Travel_Rarely,1206,Research & Development,17,Very Less Educated,Medical,Very High,Female,41,Medium,Low,Manufacturing Director,High,Divorced,4377,1,0,15,3,Medium,2,5,6,High,4,2,3,2
24,18-25,0,Travel_Rarely,477,Research & Development,24,Moderately Educated,Medical,Very High,Male,49,High,Very Low,Laboratory Technician,Medium,Single,3597,8,0,22,4,Very High,0,6,2,High,4,3,1,2
24,18-25,1,Travel_Rarely,984,Research & Development,17,Less Educated,Life Sciences,Very High,Female,97,High,Very Low,Laboratory Technician,Medium,Married,2210,1,0,13,3,Low,1,1,3,Low,1,0,0,0
24,18-25,0,Travel_Rarely,1476,Sales,4,Very Less Educated,Medical,Very High,Female,42,High,Low,Sales Executive,High,Married,4162,1,1,12,3,High,2,5,3,High,5,4,0,3
24,18-25,1,Travel_Frequently,381,Research & Development,9,Moderately Educated,Medical,Medium,Male,89,High,Very Low,Laboratory Technician,Low,Single,3172,2,1,11,3,High,0,4,2,Medium,0,0,0,0
24,18-25,0,Non-Travel,830,Sales,13,Less Educated,Life Sciences,Very High,Female,78,High,Very Low,Sales Representative,Medium,Married,2033,1,0,13,3,High,1,1,2,High,1,0,0,0
24,18-25,0,Travel_Rarely,350,Research & Development,21,Less Educated,Technical Degree,High,Male,57,Medium,Very Low,Laboratory Technician,Low,Divorced,2296,0,0,14,3,Medium,3,2,3,High,1,1,0,0
24,18-25,0,Travel_Frequently,567,Research & Development,2,Very Less Educated,Technical Degree,Low,Female,32,High,Very Low,Research Scientist,Very High,Single,3760,1,1,13,3,High,0,6,2,High,6,3,1,3
24,18-25,0,Travel_Rarely,581,Research & Development,9,Moderately Educated,Medical,High,Male,62,Very High,Very Low,Research Scientist,High,Married,4401,1,0,16,3,Very High,1,5,1,High,5,3,0,4
24,18-25,1,Travel_Rarely,240,Human Resources,22,Very Less Educated,Human Resources,Very High,Male,58,Low,Very Low,Human Resources,High,Married,1555,1,0,11,3,High,1,1,2,High,1,0,0,0
24,18-25,0,Travel_Rarely,506,Research & Development,29,Very Less Educated,Medical,Medium,Male,91,High,Very Low,Laboratory Technician,Low,Divorced,3907,1,0,13,3,Medium,3,6,2,Very High,6,2,1,2
24,18-25,0,Travel_Frequently,897,Human Resources,10,Moderately Educated,Medical,Low,Male,59,High,Very Low,Human Resources,Very High,Married,2145,0,0,14,3,Very High,1,3,2,High,2,2,2,1
24,18-25,0,Travel_Rarely,771,Research & Development,1,Less Educated,Life Sciences,Medium,Male,45,Medium,Low,Healthcare Representative,High,Single,4617,1,0,12,3,Medium,0,4,2,Medium,4,3,1,2
25,18-25,1,Travel_Rarely,240,Sales,5,Moderately Educated,Marketing,High,Male,46,Medium,Low,Sales Executive,High,Single,5744,1,1,11,3,Very High,0,6,1,High,6,4,0,3
25,18-25,0,Travel_Rarely,1280,Research & Development,7,Very Less Educated,Medical,Very High,Male,64,Medium,Very Low,Research Scientist,Very High,Married,2889,1,0,11,3,High,2,2,2,High,2,2,2,1
25,18-25,0,Travel_Rarely,959,Sales,28,Moderately Educated,Life Sciences,Low,Male,41,Medium,Low,Sales Executive,High,Married,8639,2,0,18,3,Very High,0,6,3,High,2,2,2,3
25,18-25,0,Travel_Rarely,685,Research & Development,1,Moderately Educated,Life Sciences,Low,Female,62,High,Low,Manufacturing Director,High,Married,4898,0,0,12,3,Very High,2,5,3,High,4,2,1,3
25,18-25,0,Non-Travel,675,Research & Development,5,Less Educated,Life Sciences,Medium,Male,85,Very High,Low,Healthcare Representative,Low,Divorced,4000,1,0,12,3,Very High,2,6,2,High,6,3,1,5
25,18-25,0,Travel_Rarely,891,Sales,4,Less Educated,Life Sciences,Medium,Female,99,Medium,Low,Sales Executive,Very High,Single,4487,1,1,11,3,Medium,0,5,3,High,5,4,1,3
25,18-25,1,Travel_Rarely,688,Research & Development,3,Moderately Educated,Medical,Low,Male,91,High,Very Low,Laboratory Technician,Low,Married,4031,5,0,13,3,High,1,6,5,High,2,2,0,3
25,18-25,0,Travel_Rarely,622,Sales,13,Very Less Educated,Medical,Medium,Male,40,High,Very Low,Sales Representative,High,Married,2096,1,0,11,3,High,0,7,1,High,7,4,0,6
25,18-25,0,Travel_Rarely,810,Sales,8,Moderately Educated,Life Sciences,Very High,Male,57,Very High,Low,Sales Executive,Medium,Married,4851,0,0,22,4,High,1,4,4,High,3,2,1,2
25,18-25,0,Travel_Rarely,883,Sales,26,Very Less Educated,Medical,High,Female,32,High,Low,Sales Executive,Very High,Single,6180,1,0,23,4,Medium,0,6,5,Medium,6,5,1,4
25,18-25,0,Travel_Rarely,180,Research & Development,2,Very Less Educated,Medical,Low,Male,65,Very High,Very Low,Research Scientist,Low,Single,3424,7,0,13,3,High,0,6,3,Medium,4,3,0,1
25,18-25,0,Travel_Rarely,141,Sales,3,Very Less Educated,Other,High,Male,98,High,Low,Sales Executive,Low,Married,4194,1,1,18,3,Very High,0,5,3,High,5,3,0,3
25,18-25,0,Travel_Rarely,583,Sales,4,Very Less Educated,Marketing,High,Male,87,Medium,Low,Sales Executive,Low,Married,4256,1,0,12,3,Low,0,5,1,Very High,5,2,0,3
25,18-25,1,Travel_Rarely,867,Sales,19,Less Educated,Marketing,High,Male,36,Medium,Very Low,Sales Representative,Medium,Married,2413,1,1,18,3,High,3,1,2,High,1,0,0,0
25,18-25,1,Travel_Rarely,1219,Research & Development,4,Very Less Educated,Technical Degree,Very High,Male,32,High,Very Low,Laboratory Technician,Very High,Married,3691,1,1,15,3,Medium,1,7,3,Very High,7,7,5,6
25,18-25,0,Travel_Rarely,1356,Sales,10,Highly Educated,Life Sciences,High,Male,57,High,Low,Sales Executive,Very High,Single,4950,0,0,14,3,Medium,0,5,4,High,4,3,1,1
25,18-25,1,Travel_Frequently,599,Sales,24,Very Less Educated,Life Sciences,High,Male,73,Low,Very Low,Sales Representative,Very High,Single,1118,1,1,14,3,Very High,0,1,4,High,1,0,1,0
25,18-25,0,Travel_Rarely,266,Research & Development,1,Moderately Educated,Medical,Very High,Female,40,High,Very Low,Research Scientist,Medium,Single,2096,1,0,18,3,Very High,0,2,3,Medium,2,2,2,1
25,18-25,0,Travel_Rarely,882,Research & Development,19,Very Less Educated,Medical,Very High,Male,67,High,Very Low,Laboratory Technician,Very High,Married,3669,3,0,11,3,High,3,7,6,Medium,3,2,1,2
25,18-25,0,Travel_Rarely,1372,Sales,18,Very Less Educated,Life Sciences,Low,Male,93,Very High,Low,Sales Executive,High,Married,6232,2,0,11,3,Medium,0,6,3,Medium,3,2,1,2
25,18-25,0,Travel_Rarely,949,Research & Development,1,Moderately Educated,Technical Degree,Low,Male,81,High,Very Low,Laboratory Technician,Very High,Married,3229,4,0,11,3,Medium,1,7,2,Medium,3,2,0,2
25,18-25,1,Travel_Rarely,383,Sales,9,Less Educated,Life Sciences,Low,Male,68,Medium,Very Low,Sales Representative,Low,Married,4400,3,0,12,3,Low,0,6,2,High,3,2,2,2
25,18-25,0,Travel_Frequently,772,Research & Development,2,Very Less Educated,Life Sciences,Very High,Male,77,Very High,Low,Manufacturing Director,High,Divorced,5206,1,0,17,3,High,2,7,6,High,7,7,0,7
25,18-25,0,Travel_Rarely,309,Human Resources,2,Moderately Educated,Human Resources,High,Female,82,High,Very Low,Human Resources,Medium,Married,2187,4,0,14,3,High,0,6,3,High,2,0,1,2
25,18-25,0,Travel_Rarely,977,Research & Development,2,Very Less Educated,Other,Very High,Male,57,High,Very Low,Laboratory Technician,High,Divorced,3977,6,1,19,3,High,1,7,2,Medium,2,2,0,2
25,18-25,0,Travel_Rarely,1382,Sales,8,Less Educated,Other,Low,Female,85,High,Low,Sales Executive,High,Divorced,4907,0,1,22,4,Medium,1,6,3,Medium,5,3,0,4
26,26-35,1,Travel_Rarely,1357,Research & Development,25,Moderately Educated,Life Sciences,Low,Male,48,Low,Very Low,Laboratory Technician,High,Single,2293,1,0,12,3,High,0,1,2,Medium,1,0,0,1
26,26-35,0,Travel_Rarely,1443,Sales,23,Moderately Educated,Marketing,High,Female,47,Medium,Low,Sales Executive,Very High,Married,4157,7,1,19,3,High,1,5,2,Medium,2,2,0,0
26,26-35,0,Travel_Rarely,841,Research & Development,6,Moderately Educated,Other,High,Female,46,Medium,Very Low,Research Scientist,Medium,Married,2368,1,0,19,3,High,0,5,3,Medium,5,4,4,3
26,26-35,0,Travel_Rarely,1355,Human Resources,25,Very Less Educated,Life Sciences,High,Female,61,High,Very Low,Human Resources,High,Married,2942,1,0,23,4,Very High,1,8,3,High,8,7,5,7
26,26-35,0,Travel_Frequently,1479,Research & Development,1,Moderately Educated,Life Sciences,High,Female,84,High,Low,Manufacturing Director,Medium,Divorced,6397,1,0,20,4,Low,1,6,6,Low,6,5,1,4
26,26-35,0,Travel_Frequently,496,Research & Development,11,Less Educated,Medical,Low,Male,60,High,Low,Healthcare Representative,Low,Married,4741,1,1,13,3,High,1,5,3,High,5,3,3,3
26,26-35,1,Travel_Rarely,1449,Research & Development,16,Highly Educated,Medical,Low,Male,45,High,Very Low,Laboratory Technician,Medium,Divorced,2373,2,1,13,3,Very High,1,5,2,High,3,2,0,2
26,26-35,1,Travel_Rarely,950,Sales,4,Highly Educated,Marketing,Very High,Male,48,Medium,Low,Sales Executive,Very High,Single,5828,1,1,12,3,Medium,0,8,0,High,8,7,7,4
26,26-35,0,Travel_Rarely,933,Sales,1,Moderately Educated,Life Sciences,High,Male,57,High,Low,Sales Executive,High,Married,5296,1,0,17,3,Medium,1,8,3,High,8,7,7,7
26,26-35,1,Travel_Frequently,575,Research & Development,3,Very Less Educated,Technical Degree,High,Male,73,High,Very Low,Research Scientist,Low,Single,3102,0,0,22,4,High,0,7,2,High,6,4,0,4
26,26-35,0,Travel_Rarely,1349,Research & Development,23,Moderately Educated,Life Sciences,Low,Female,90,High,Very Low,Research Scientist,Very High,Divorced,2886,1,0,22,4,Medium,2,3,3,Low,3,2,0,2
